is_fake,num_digits,num_letters,num_dots,num_hyphens,external_count,social_media_links,social_media_shallow_links,social_media_share_links,total_products,percentage_discounted_products,percentage_extremely_discounted_products
0,0,19,1,0,66,0,0,0,4,0.25,0.25
0,0,21,3,0,22,4,0,0,5,0.4,0.0
0,0,21,1,0,36,3,0,0,45,0.27,0.16
0,0,14,1,0,52,2,0,0,17,0.06,0.0
0,0,20,1,0,0,0,0,0,24,0.0,0.0
0,0,17,1,0,50,2,0,0,10,0.0,0.0
0,0,18,1,0,30,2,0,0,99,0.0,0.0
0,1,15,1,0,23,3,0,0,25,0.0,0.0
0,0,33,2,0,35,2,0,1,9,0.0,0.0
0,0,18,1,0,11,3,0,0,13,0.0,0.0
0,0,22,1,0,20,4,0,0,8,0.0,0.0
0,0,22,1,0,64,4,0,0,14,0.29,0.0
0,0,17,2,0,48,4,0,0,40,0.0,0.0
0,0,21,1,0,21,2,2,0,18,0.0,0.0
0,0,15,1,0,50,5,0,0,9,0.0,0.0
0,0,19,1,0,91,3,0,0,113,0.0,0.0
0,0,21,1,0,50,2,0,0,3,0.33,0.0
0,0,20,1,0,11,0,0,0,13,0.23,0.23
0,0,18,2,0,18,6,0,0,16,0.0,0.0
0,0,20,1,0,75,0,0,0,2,0.0,0.0
0,0,21,1,0,38,18,0,0,12,0.0,0.0
0,0,24,2,0,0,0,0,0,20,0.0,0.0
0,0,19,2,0,30,5,0,0,46,0.0,0.0
0,0,14,1,0,33,3,0,0,76,0.0,0.0
0,0,23,1,0,53,7,0,0,4,0.0,0.0
0,0,16,1,0,0,0,0,0,2,0.0,0.0
0,0,24,1,2,23,3,0,0,46,0.04,0.0
0,0,14,1,0,61,7,0,0,8,0.0,0.0
0,0,20,1,0,33,3,0,0,10,0.0,0.0
0,0,18,1,0,60,0,0,0,13,0.0,0.0
0,0,15,1,0,31,3,0,0,5,0.0,0.0
0,1,12,1,0,41,3,0,0,5,0.0,0.0
